date,value
2012-01-01,120.1545071809049
2012-02-01,117.75197894045712
2012-03-01,119.55676627405803
2012-04-01,112.3516658817406
2012-05-01,110.89063935684132
2012-06-01,114.58874673270843
2012-07-01,114.68504827881604
2012-08-01,117.41793223965077
2012-09-01,112.79797568548805
2012-10-01,113.87188180129597
2012-11-01,107.0219780727891
2012-12-01,108.45075306881807
2013-01-01,108.60563881674555
2013-02-01,109.16494009913238
2013-03-01,107.8459462591595
2013-04-01,111.74043128027701
2013-05-01,106.165826985996
2013-06-01,104.68826005103139
2013-07-01,108.19397649191367
2013-08-01,106.56610785570084
2013-09-01,111.3444281483047
2013-10-01,111.60696767525943
2013-11-01,111.77127883825
2013-12-01,106.33002385638525
2014-01-01,107.2483232691653
2014-02-01,109.17869532583543
2014-03-01,107.04518121404088
2014-04-01,109.0573827780061
2014-05-01,109.73204033995857
2014-06-01,106.98934487567018
2014-07-01,105.09507012297126
2014-08-01,109.86813389296036
2014-09-01,108.76187055042877
2014-10-01,109.05432625239197
2014-11-01,112.05616580609248
2014-12-01,116.01362901712298
2015-01-01,105.18576519195602
2015-02-01,113.96358565032051
2015-03-01,114.9761495139184
2015-04-01,112.79161272083914
2015-05-01,116.9742153719781
2015-06-01,115.15424655564587
2015-07-01,120.2708436895945
2015-08-01,121.49308303671977
2015-09-01,121.22151320676673
2015-10-01,118.93524425601814
2015-11-01,120.33115488807685
2015-12-01,117.77355562295074
2016-01-01,117.18085270900744
2016-02-01,118.97320648306128
2016-03-01,118.51922379741035
2016-04-01,116.90965043728953
2016-05-01,123.05776702692276
2016-06-01,119.12432592004974
2016-07-01,120.06710220026353
2016-08-01,120.30310439494505
2016-09-01,113.93496624421721
2016-10-01,125.27002729575068
2016-11-01,119.81736534492015
2016-12-01,123.09650021816016
2017-01-01,115.73756093651643
2017-02-01,118.65989955207029
2017-03-01,114.19509228174402
2017-04-01,115.33032477234933
2017-05-01,120.08833358512771
2017-06-01,120.7335752538825
2017-07-01,121.6217046555972
2017-08-01,122.39396237787633
2017-09-01,116.57749050023538
2017-10-01,115.99163984811916
2017-11-01,119.53891679324562
2017-12-01,122.99851330467911
2018-01-01,122.52308791586817
2018-02-01,123.74843556937087
2018-03-01,124.73015350776849
2018-04-01,126.20805501980259
2018-05-01,126.80297198270975
2018-06-01,122.96565439825505
2018-07-01,127.74205061214677
2018-08-01,123.77743983898843
2018-09-01,120.92287478755507
2018-10-01,123.71288326130922
2018-11-01,119.7177129777826
2018-12-01,118.67380449852844
2019-01-01,120.80155631964735
2019-02-01,118.38160036011392
2019-03-01,117.14637066354742
2019-04-01,120.04853314966317
2019-05-01,122.89584473512814
2019-06-01,123.6235265129525
2019-07-01,125.42181430542021
2019-08-01,119.82482371277611
2019-09-01,124.2117792941101
2019-10-01,123.3915905674456
2019-11-01,121.46060477621766
2019-12-01,121.83067773943067
2020-01-01,121.33558961294
2020-02-01,118.96245979615304
2020-03-01,114.88647298393893
2020-04-01,119.12247738162452
2020-05-01,119.53461665185216
2020-06-01,123.3396653106217
2020-07-01,124.96368004201241
2020-08-01,124.009252258472
2020-09-01,126.48470635528986
2020-10-01,130.0245989666148
2020-11-01,125.8320676827839
2020-12-01,126.28692144786287
2021-01-01,127.69007865668944
2021-02-01,123.41058560053641
2021-03-01,122.39566343009308
2021-04-01,126.20556514668499
2021-05-01,124.12105431817933
2021-06-01,126.32695676400841
2021-07-01,125.50333320493702
2021-08-01,129.5775783371069
2021-09-01,128.74994702104726
2021-10-01,128.93777019327558
2021-11-01,128.10708839901355
2021-12-01,125.64945075405399
2022-01-01,122.74269227814482
2022-02-01,133.26636578967467
2022-03-01,130.41079496353643
2022-04-01,133.22769783633336
2022-05-01,129.2303167821417
2022-06-01,132.16697046203194
2022-07-01,132.80733159211456
2022-08-01,129.84219362460098
2022-09-01,137.39253877160598
2022-10-01,139.04258574618092
2022-11-01,136.5224281398196
2022-12-01,140.31575818936736
2023-01-01,142.39838413931133
2023-02-01,142.59211533443872
2023-03-01,143.52909383669657
2023-04-01,143.35493012392544
2023-05-01,143.36881901149343
2023-06-01,139.24935812828636
2023-07-01,140.325888664491
2023-08-01,142.56118059708933
2023-09-01,141.3204839878772
2023-10-01,145.20873558836502
2023-11-01,144.0522120769068
2023-12-01,141.59636108590053
