,load
2020-01-01 00:00:00,15.0
2020-01-01 01:00:00,11.888948081894029
2020-01-01 02:00:00,11.1022122570336
2020-01-01 03:00:00,11.055649433634619
2020-01-01 04:00:00,8.7281271230452
2020-01-01 05:00:00,7.830282997139939
2020-01-01 06:00:00,9.08265056235199
2020-01-01 07:00:00,10.4684489659775
2020-01-01 08:00:00,12.645739781446538
2020-01-01 09:00:00,14.322218413775426
2020-01-01 10:00:00,17.94428639642343
2020-01-01 11:00:00,21.41305446305641
2020-01-01 12:00:00,23.94965150899086
2020-01-01 13:00:00,27.200477952374825
2020-01-01 14:00:00,29.250703013580313
2020-01-01 15:00:00,29.360892326956574
2020-01-01 16:00:00,30.085303144945097
2020-01-01 17:00:00,28.781413649759525
2020-01-01 18:00:00,28.704751956677065
2020-01-01 19:00:00,27.063414923770264
2020-01-01 20:00:00,24.807867392764287
2020-01-01 21:00:00,21.724734929747342
2020-01-01 22:00:00,20.402258593460058
2020-01-01 23:00:00,17.63942573069304
2020-01-02 00:00:00,14.791822236968036
2020-01-02 01:00:00,12.378684991677455
2020-01-02 02:00:00,11.349074275738154
2020-01-02 03:00:00,10.714934951988067
2020-01-02 04:00:00,10.768262175132497
2020-01-02 05:00:00,11.501631222514888
2020-01-02 06:00:00,14.582289612140558
2020-01-02 07:00:00,15.603050542885633
2020-01-02 08:00:00,17.0283170464337
2020-01-02 09:00:00,18.525109442172045
2020-01-02 10:00:00,21.67380184967247
2020-01-02 11:00:00,25.30746904583406
2020-01-02 12:00:00,27.4695592056133
2020-01-02 13:00:00,28.57717264225047
2020-01-02 14:00:00,29.26673196079465
2020-01-02 15:00:00,30.8861369368757
2020-01-02 16:00:00,31.90888778930577
2020-01-02 17:00:00,32.015918783826606
2020-01-02 18:00:00,30.233598064769478
2020-01-02 19:00:00,28.797897493077958
2020-01-02 20:00:00,26.75713510401786
2020-01-02 21:00:00,24.476094405455033
2020-01-02 22:00:00,22.66899366214273
2020-01-02 23:00:00,20.170534592270652
2020-01-03 00:00:00,18.30321583638706
2020-01-03 01:00:00,16.133876670036127
2020-01-03 02:00:00,14.673070483768852
2020-01-03 03:00:00,14.138462734278239
2020-01-03 04:00:00,12.150771158265695
2020-01-03 05:00:00,12.064742010411054
2020-01-03 06:00:00,12.503275007698791
2020-01-03 07:00:00,13.39564074679555
2020-01-03 08:00:00,15.168525564473075
2020-01-03 09:00:00,19.06719301041931
2020-01-03 10:00:00,20.707158239965658
2020-01-03 11:00:00,24.22865823393015
2020-01-03 12:00:00,24.875958628953203
2020-01-03 13:00:00,26.618703613177644
2020-01-03 14:00:00,28.39358022239795
2020-01-03 15:00:00,29.992404195440145
2020-01-03 16:00:00,31.027912976708933
2020-01-03 17:00:00,31.429248534952357
2020-01-03 18:00:00,29.99307220412649
2020-01-03 19:00:00,27.874876341843677
2020-01-03 20:00:00,26.621516178077783
2020-01-03 21:00:00,23.937200509669914
2020-01-03 22:00:00,20.013986786468468
2020-01-03 23:00:00,16.29098070491574
2020-01-04 00:00:00,13.018872485305735
2020-01-04 01:00:00,11.542987210005688
2020-01-04 02:00:00,10.164785670347008
2020-01-04 03:00:00,9.914676483510865
2020-01-04 04:00:00,9.168123426975637
2020-01-04 05:00:00,9.709657103682268
2020-01-04 06:00:00,11.359957160854835
2020-01-04 07:00:00,12.639137017143858
2020-01-04 08:00:00,15.181911864557009
2020-01-04 09:00:00,16.923214189120547
2020-01-04 10:00:00,19.173343177755026
2020-01-04 11:00:00,21.421712242235643
2020-01-04 12:00:00,22.696582081890075
2020-01-04 13:00:00,25.37033348577969
2020-01-04 14:00:00,26.575632763139364
2020-01-04 15:00:00,27.69175777016918
2020-01-04 16:00:00,28.61191784035336
2020-01-04 17:00:00,28.787299955850536
2020-01-04 18:00:00,28.497357477371008
2020-01-04 19:00:00,26.817805191229837
2020-01-04 20:00:00,24.33598548520007
